tag,x,y
yellow,12.531676074039929,-1.8352654889530144
blue,12.775244532842198,1.3324939988884823
yellow,11.707869880621738,-12.357398896117656
yellow,17.631179554843364,-1.993494554291988
yellow,4.28623575314563,-1.621553676540308
blue,4.701513544583881,1.4984248085918055
blue,17.959992477724207,1.1551123844644127
blue,17.971275742049556,1.1363507327367524
yellow,14.791778463607882,-11.551219866199435
yellow,17.895919014950085,-11.205819607679414
yellow,22.600405162665016,-2.062124944772357
blue,22.847898803024016,1.039625062753993
blue,22.844205833979892,1.1017714953822118
yellow,21.128827736136877,-11.055550769295241
blue,18.442141260503913,-14.355460825226036
yellow,27.610987139357103,-2.1912971290560845
blue,27.785574526288308,0.9233852679234829
blue,21.389396284543185,-14.29342810587066
yellow,25.367076154364764,-11.268428930353027
blue,25.10301618910021,-14.497753769358281
yellow,28.40666958176837,-12.017460170187162
blue,33.02445617102796,0.822919218232144
yellow,32.987926411625544,-2.3808729755022244
blue,27.692599273607414,-15.138799340327543
yellow,32.1604594546469,-13.897474120267598
blue,37.95583047902987,0.4625354635998063
yellow,37.721982100633,-2.7197794553546926
yellow,39.36888637113327,-2.881794406828739
blue,41.31423044749244,-0.4576281895563894
blue,41.316504520089374,-0.43692344046370113
yellow,42.751597442433486,-4.778979229559856
blue,44.480545123643125,-2.1081486299551178
yellow,44.69140356401127,-6.7475992697612
blue,47.03312880593077,-4.765117284768728
yellow,46.053140151557656,-8.892295243299609
blue,48.885472511128285,-7.452009241269355
yellow,47.52468634862162,-11.848086428346983
blue,50.471927248597524,-10.643815883705102
blue,44.468557374118994,-2.120532420471183
yellow,48.65670576763975,-15.045247663201577
blue,51.72912133877961,-13.970446908357133
yellow,49.204921402504,-18.03662990052867
blue,47.0242721382394,-4.756373830140588
blue,52.4107319413587,-17.271118020278724
yellow,49.563178858113716,-20.2225060006194
blue,52.82708051930429,-20.17403519815176
blue,50.490128366184685,-10.62706503485845
yellow,49.585849486609966,-23.94417475583936
blue,52.85889796612142,-23.835500846157043
blue,51.74165240210244,-13.969418888346125
yellow,49.273908986310786,-26.875908494152178
blue,52.42814195823797,-17.26903296460549
blue,52.49467125969544,-27.303011923362465
yellow,48.72290760852496,-30.46071960368922
blue,51.86008482301741,-31.101727997102806
none,52.842432121361796,-23.92579742543806
yellow,48.150991047958605,-34.71432647644138
blue,51.33828296393718,-34.935318499098955
blue,52.49943875504371,-27.29736329481454
yellow,47.292040895456246,-37.89095643808831
blue,50.37129669024546,-38.83104768965897
blue,51.86251049200675,-31.08166550551621
blue,51.324347707855914,-34.93830167790528
yellow,45.97267464083193,-41.29974947089903
blue,48.89828960601094,-42.48323646550805
blue,50.351381905109434,-38.83391726103347
