tag,x,y
yellow,-34.137863,-15.703358
yellow,-34.499813,-14.399555
yellow,-34.036430,-13.416135
yellow,-29.802849,-11.445918
blue,-37.487930,-11.216064
blue,-35.435188,-10.352873
blue,-31.224571,-8.425012
blue,-27.255569,-6.496077
blue,-11.416595,-1.289847
blue,-9.639577,-0.220673
blue,-7.557188,0.336490
blue,-4.831235,1.042518
yellow,-4.139117,-2.257236
blue,-3.241261,1.143665
none,-0.801317,-2.035745
blue,-0.897806,1.303490
