tag,x,y
orange_big,-1.3,2.5
orange_big,-1.3,-2.5
orange_big,1.3,2.5
orange_big,1.3,-2.5
blue,3.628353220708631,1.7402405285761657
blue,8.590963866031826,1.6152650852927826
blue,13.560980986995295,1.3793733844076121
blue,18.596912331631444,1.2009685488187078
blue,23.6004557384635,1.095511521379937
blue,26.62330400994493,0.800367399394881
blue,28.82807142777011,-0.6614507151627002
blue,30.526459658596405,-2.4718286520850574
blue,32.14001761953538,-4.292639157730639
blue,34.23203211896588,-6.465132427849952
blue,36.87545982763053,-9.376293833497577
blue,39.74600574847074,-12.141447516970944
blue,42.50759779136432,-15.000299444715457
blue,45.115202344849784,-17.228306809760877
blue,47.38520809151967,-19.392926604636106
blue,50.32267119259429,-19.474630091189862
blue,52.70233146278562,-18.947872604689845
blue,55.71154344376068,-17.448696341052234
blue,57.276341997107046,-16.079752870185416
blue,58.53916100634616,-14.608882675345463
blue,59.03910504166272,-12.218850008376554
blue,59.57808247643256,-10.146493525746749
blue,60.759203638092075,-8.579661273046705
blue,62.91507839151278,-7.524895248711547
blue,65.10287200382896,-7.756137936856432
blue,66.60671334169403,-9.104985845337964
blue,67.72819175186217,-10.596215186327274
blue,68.16474129250061,-12.803239291738894
blue,69.1147119610434,-15.615257375444706
blue,70.97220924667339,-17.905843550610907
blue,73.27454337561936,-19.6983977825308
blue,75.62731882724177,-21.11340552248481
blue,77.59816897694333,-23.767625126830378
blue,78.23281866241787,-25.820543057531182
blue,78.32844833327823,-28.246316653463012
blue,77.39264482815442,-30.936345854399505
blue,75.59674451913689,-32.97112910911371
blue,73.65569056015526,-34.601555973573305
blue,70.89135673529667,-35.43188950006829
blue,68.26008459267935,-35.81713676340382
blue,65.45134948799193,-34.96104478115921
blue,62.88631003254294,-33.941363318196814
blue,60.627254750147756,-32.733544490240355
blue,58.558819213104435,-31.48556880103931
blue,56.38082531319895,-30.140811843428654
blue,53.39902763847397,-28.65501285138809
blue,49.599787578745044,-27.931525987888147
blue,46.993216086555115,-28.491483716994004
blue,44.502628127364254,-30.148594087583884
blue,42.65365118493005,-31.682041328692495
blue,40.207727131116776,-33.0287204039395
blue,37.89973384549178,-34.05789543302429
blue,34.819191556362114,-34.34662959572156
blue,31.686764485851764,-34.54680985317787
blue,29.158078262166583,-35.64733524064391
blue,27.024522432182494,-37.475978355655954
blue,23.220802800842165,-39.42470356041513
blue,18.26962099548422,-41.34409612220962
blue,12.8810900915545,-43.227912662629265
blue,8.513429207993207,-44.6319649152893
blue,4.838340229132659,-43.90161943800699
blue,2.436173710989702,-43.648750332362034
blue,1.7039207139848962,-41.765182959865164
blue,-1.4806283171380807,-39.953983583490405
blue,-5.187913713645888,-38.360853636084485
blue,-8.120552725249919,-38.463133465292074
blue,-10.580654612329187,-38.766227418781135
blue,-14.047223590749876,-38.99036988387761
blue,-17.818190364024716,-40.1477518677891
blue,-22.23527733768447,-40.3295369386479
blue,-26.193765251601054,-39.70005170336559
blue,-29.87805851939486,-38.66167823235074
blue,-33.185772505882056,-37.275867043480446
blue,-35.97711292162559,-35.401076859141334
blue,-39.174991487182,-32.57402292439234
blue,-41.03912357318695,-30.037687492794923
