x,y
-0.25,0.0
-0.1494080000000011,0.0
-0.048816999999999666,0.0
0.05177499999999924,0.0
0.1523670000000017,0.0
0.2529590000000006,0.0
0.3535499999999985,0.0
0.45414200000000093,0.0
0.5547339999999998,0.0
0.6553250000000013,0.0
0.7559170000000002,0.0
0.8565090000000026,0.0
0.9571010000000015,0.0
1.0576919999999994,0.0
1.1582840000000019,0.0
1.2588760000000008,0.0
1.3594670000000022,0.0
1.460059000000001,0.0
1.560651,0.0
1.661242999999999,0.0
1.7618340000000003,0.0
1.8624259999999992,0.0
1.9630179999999982,0.0
2.0636089999999996,0.0
2.1642009999999985,0.0
2.2647929999999974,0.0
2.365385,0.0
2.4659759999999977,0.0
2.566568,0.0
2.6671600000000026,0.0
2.7677510000000005,0.0
2.8683429999999994,0.0
2.968935000000002,0.0
3.069527000000001,0.0
3.170118000000002,0.0
3.270710000000001,0.0
3.371302,0.0
3.4718930000000015,0.0
3.5724850000000004,0.0
3.6730769999999993,0.0
3.773668999999998,0.0
3.8742599999999996,0.0
3.9748519999999985,0.0
4.075443999999997,0.0
4.176036,0.0
4.276626999999998,0.0
4.377219,0.0
4.477811000000003,0.0
4.5784020000000005,0.0
4.678993999999999,0.0
4.779586000000002,0.0
4.880178000000001,0.0
4.980769000000002,0.0
5.081361000000001,0.0
5.181953,0.0
5.2825440000000015,0.0
5.383136,0.0
5.483727999999999,0.0
5.584319999999998,0.0
5.684911,0.0
5.7855029999999985,0.0
5.886094999999997,0.0
5.986685999999999,0.0
6.087277999999998,0.0
6.18787,0.0
6.288462000000003,0.0
6.3890530000000005,0.0
6.489644999999999,0.0
6.590237000000002,0.0
6.690828,0.0
6.791420000000002,0.0
6.892012000000001,0.0
6.992604,0.0
7.0931950000000015,0.0
7.193787,0.0
7.294378999999999,0.0
7.394970000000001,0.0
7.495562,0.0
7.5961539999999985,0.0
7.696745999999997,0.0
7.797336999999999,0.0
7.897928999999998,0.0
7.998521,0.0
8.099111999999998,0.0
8.199704,0.0
8.300296,0.0
8.400888000000002,0.0
8.501479,0.0
8.602071000000002,0.0
8.702663000000001,0.0
8.803253999999999,0.0
8.903846000000001,0.0
9.004438,0.0
9.10503,0.0
9.205621,0.0
9.306213,0.0
9.406804999999999,0.0
9.507396,0.0
9.607987999999999,0.0
9.708580000000001,0.0
9.809172,0.0
9.909762999999998,0.0
10.010355,0.0
10.110947,0.0
10.211538000000001,0.0
10.31213,0.0
10.412721999999999,0.0
10.513314000000001,0.0
10.613904999999999,0.0
10.714497000000001,0.0
10.815089,0.0
10.915680000000002,0.0
11.016272,0.0
11.116864,0.0
11.217455999999999,0.0
11.318047,0.0
11.418638999999999,0.0
11.519231000000001,0.0
11.619822,0.0
11.720413999999998,0.0
11.821006,0.0
11.921598,0.0
12.022189000000001,0.0
12.122781,0.0
12.223372999999999,0.0
12.323964,0.0
12.424555999999999,0.0
12.525148000000002,0.0
12.62574,0.0
12.726331000000002,0.0
12.826923,0.0
12.927515,0.0
13.028106999999999,0.0
13.128698,0.0
13.229289999999999,0.0
13.329881999999998,0.0
13.430473,0.0
13.531064999999998,0.0
13.631657,0.0
13.732249,0.0
13.832840000000001,0.0
13.933432,0.0
14.034024000000002,0.0
14.134615,0.0
14.235206999999999,0.0
14.335799000000002,0.0
14.436391,0.0
14.536982000000002,0.0
14.637574,0.0
14.738166,0.0
14.838757000000001,0.0
14.939349,0.0
15.039940999999999,0.0
15.140532999999998,0.0
15.241124,0.0
15.341715999999998,0.0
15.442307999999997,0.0
15.542898999999998,0.0
15.643490999999997,0.0
15.744083000000003,0.0
15.844675000000002,0.0
15.945266000000004,0.0
16.045857999999996,0.0
16.14645,0.0
16.247040999999996,0.0
16.347633000000002,0.0
16.448225,0.0
16.548817,0.0
16.649408,0.0
16.75,0.0
16.861559999999997,-0.003303
16.973039,-0.00797
17.08442,-0.013998
17.195687,-0.021387
17.306824,-0.030134
17.417812999999995,-0.040238
17.528639,-0.051696
17.639284000000004,-0.064505
17.749733,-0.078663
17.859967999999995,-0.094166
17.969974,-0.111013
18.079733000000004,-0.129199
18.189231,-0.148721
18.298449000000005,-0.169576
18.407373,-0.191759
18.515986999999996,-0.215266
18.624273000000002,-0.240094
18.732216,-0.266237
18.839799999999997,-0.293691
18.947009,-0.322451
19.053827,-0.352512
19.160239000000004,-0.383869
19.266228999999996,-0.416516
19.37178,-0.450447
19.476878,-0.485658
19.581508,-0.522141
19.685652000000005,-0.559891
19.789298000000002,-0.598901
19.892427999999995,-0.639165
19.995028000000005,-0.680675
20.097082999999998,-0.723426
20.198577,-0.767409
20.299497000000002,-0.812618
20.399827000000002,-0.859045
20.499552,-0.906682
20.598658999999998,-0.955522
20.697131999999996,-1.005556
20.794956,-1.056776
20.892119,-1.109175
20.988605,-1.162743
21.084400000000002,-1.217471
21.179491,-1.273352
21.273864000000003,-1.330375
21.367505,-1.388532
21.4604,-1.447813
21.552536000000003,-1.508209
21.643899000000005,-1.569709
21.734477,-1.632305
21.824256,-1.695986
21.913223000000002,-1.760742
22.001365,-1.826562
22.08867,-1.893437
22.175125,-1.961355
22.260717,-2.030306
22.345435000000002,-2.100278
22.429265,-2.171261
22.512197,-2.243244
22.594217999999998,-2.316214
22.675314999999998,-2.390162
22.755479,-2.465074
22.834697,-2.540939
22.912958000000003,-2.617746
22.990250000000003,-2.695481
23.066563000000002,-2.774134
23.141886,-2.853691
23.216208,-2.93414
23.289519,-3.015469
23.361807999999996,-3.097665
23.433065,-3.180715
23.503279,-3.264606
23.572441999999995,-3.349325
